SMILES,Inhibition_A,Inhibition_B,Inhibition Mean
CCCCN1C(C(SC1=S)(C)C)/[N+](=C/C2=CN=CC=C2)/[O-],3.75391,-0.935141,1.4093844999999998
CCC1=CC=C(C=C1)CNC(=O)C2CCN(CC2)S(=O)(=O)N3CCCC3,2.45664,6.16552,4.3110800000000005
CCCCCCN=C(C)C1=C(C(C(CC1=O)(C)C)C(=O)OC)O,2.62552,4.19295,3.409235
CC1=C(C(=C(C=C1)Cl)NC(=O)CN2CCN(CC2)C(=O)C)Cl,-1.95429,1.59409,-0.1801
CCC(C)(C)N1C(=NN=N1)C(C(C)C)N2CCN(CC2)C(=O)C3=CC=CO3,5.14816,3.93763,4.542895
CC1=C(C=CC=C1Cl)N2C(=O)CC(C2=O)NNC(=O)C3=CC4=C(C=C3)OCO4,-0.969551,-0.83266,-0.9011055
C1=CC=C2C(=C1)C(=CN2)CCNC(=O)CCNS(=O)(=O)C3=CC=C(C=C3)OC(F)(F)F,4.41875,4.16764,4.293195
C1=CC=C(C=C1)N2C(=NN=C2SCC(=O)O)COC3=CC=CC=C3,2.66075,2.68353,2.67214
CC(=NOCC(=O)NC12CC3CC(C1)CC(C3)C2)C4=CC5=CC=CC=C5O4,-9.06094,-8.28136,-8.67115
CC1=CC(=C(C=C1)C)NC(=O)C2=CC(=CN2)S(=O)(=O)N3CCCCC3,5.41789,4.0018,4.709845
CCN(C1=NN=C(S1)CN2C3=CC=CC=C3N=N2)C(=O)CC(C)C,-2.06907,1.22876,-0.4201549999999999
CC(C(=O)NC1=CC=CC=C1F)NS(=O)(=O)C2=CC=C(C=C2)OC,1.80074,2.17015,1.985445
CN(CC1=CC=C(C=C1)OC(F)F)C(=O)C2=CC=C(C=C2)S(=O)(=O)N(C)C3=CC=CC=C3OC,2.1108,3.18402,2.64741
C1CC2CNC3=C(N2C1)C=CC(=C3)C(F)(F)F,2.87797,2.70623,2.7921
CC[C@H]1[C@@H](N(N=C1C2=CC=CC=C2)C3=CC=CC=C3)C(=O)N4CCOC4=O,2.90621,0.328898,1.6175540000000002
CC(C)C1=CC=C(C=C1)NC2CCCN(C2)C(=O)CN3CCOC3=O,1.17373,5.08972,3.131725
C1CCC(C1)NC(=O)CSC2=NN=C(S2)NC(=O)C3=CC=CO3,3.23452,2.02192,2.62822
CN(CC1=C(C(=CC=C1)OC)OC)C(=O)CNC(=O)C2=CC3=C(C=C2)OCO3,1.89577,0.203716,1.049743
C1COCCN1S(=O)(=O)C2=CC=CC(=C2)C3=CSC(=N3)NN=CC4=CC=CO4,1.76364,6.43552,4.09958
C1CC2=CC=CC=C2N(C1)C(=O)CN3C=NC4=C(C3=O)OC5=CC=CC=C54,-1.62893,-3.31496,-2.471945
C1CC(CN(C1)C2=C(C(=C(C(=N2)N)C#N)CC#N)C#N)O,15.787,9.20216,12.49458
CC1=CC=C(C=C1)N2C(=O)C3=CC=CC=C3N(C2=O)CC(=O)NCC4=CC=CO4,10.7663,11.9219,11.3441
C[C@@H](C1=NNC(=O)C2=CC=CC=C21)C(=O)O,5.55556,6.83931,6.1974350000000005
C1CCN(CC1)CCC(=O)NN=CC2=CC=C(C=C2)Br,6.57186,3.36934,4.9706
CCCCCCN1C2=C(N=C1N3CCN(CC3)C4=CC(=CC=C4)Cl)N(C(=O)NC2=O)C,2.2362,3.35357,2.794885
CC1=C(C=C(C=C1)S(=O)(=O)N(C)C2=CC=CC=C2OC)C(=O)NCCOC,1.89142,4.02737,2.959395
CSCC1=CC(=NC(=N1)C2=CC=CC=C2)N3CCCC3,3.17291,4.85362,4.0132650000000005
CC(C)N1C(C2=CC=CC=C2S1(=O)=O)CC(=O)OC,2.46154,11.7311,7.09632
CCN(CC(=O)NC1=C(C=C(C=C1)[N+](=O)[O-])OC)C2=CC=CC=C2,3.93782,4.02123,3.979525
CCOC1=C(C=CC(=C1)/C=C/2\C(=O)N(C(=O)N2)CC(=O)OC)O,5.95443,3.24043,4.59743
C1CC2=CC=CC=C2C(=NNC(=O)CC3=CC=CC4=CC=CC=C43)C1,-3.24445,2.84452,-0.1999649999999999
C1CN(CCN1CC2=CC=CC=C2)S(=O)(=O)C3=CC=CC(=C3)C(=O)NC4=NC(=CS4)C5=CC=CC=C5,4.1691,2.49593,3.332515
C=CCN1C(=NN=C1SCC(=O)NC2=CC3=C(CCC3)C=C2)C4=CC=CS4,17.0732,19.7208,18.397
CC1=CC=C(C=C1)CN2C3=CC=CC=C3N=C2C4=NON=C4N,0.0164352,-0.813405,-0.3984849
COC(=O)NC1=CC=C(C=C1)S(=O)(=O)N(CC=C)C2=CC=CC=C2C(=O)O,5.12289,3.2796,4.201245
CCN1C=C(C=N1)CNC(=O)C2CCC(=O)N(C2)CCC3=CC(=CC=C3)F,0.0726744,5.56049,2.8165822
C1C(CN(C1=O)CC2=CC=CC=C2)C(=O)NCCN3C(=O)/C(=C\C4=CC=CC=C4)/SC3=O,5.94917,8.07662,7.012895
CC1=CC=C(C=C1)S(=O)(=O)N(C)CC(=O)N2CCCCCCC2,4.89593,4.1422,4.519064999999999
CC(=NNC(=O)C1=CC(=CC=C1)S(=O)(=O)N2CCCC2)C3=CC=C(C=C3)OCC(=O)N(C)C,1.85847,2.34551,2.10199
C1=CC(=C(C(=C1)Cl)S(=O)(=O)NCC(=O)O)Cl,1.90418,4.81149,3.357835
CC1=CC(=C(C=C1)OC)N(CC(=O)N2CCCC2)S(=O)(=O)C,0.328671,0.604775,0.466723
CC1=CC=C(C=C1)S(=O)(=O)CCC(=O)OCC(=O)N2CCC3=CC=CC=C32,-0.792592,4.15308,1.680244
CN1C2=C(C(=O)N(C1=O)C)N(C(=N2)CN3CCN(CC3)C4=CC=CC=C4)CC5=CC=CC=C5Cl,6.72778,6.40024,6.56401
CC(C)(C)S(=O)(=O)C(=NNC1=CC=C(C=C1)OC)C#N,6.77482,8.98385,7.879335
CC1=CC2=C(C=C1)N=C(S2)NC(=O)CSC3=NC4=CC=CC=C4O3,-7.70866,-7.49736,-7.603009999999999
CC1=C(C=CO1)C2=NN=C(N2C3=CC=C(C=C3)OC)SCC(=O)NC4=CC=CC=C4,8.18639,9.96228,9.074335
C1=CSC(=C1)C2C=C(NC3=NC=NN23)C4=CC=C(C=C4)Br,1.48738,7.69635,4.591865
CC1=CC(=NN1CCCC(=O)OC)NC(=O)COC2=CC=C(C=C2)F,2.00432,3.86525,2.934785
CCOC1=C2C=CC(=CC2=NN1CCOC)C(=O)NCC3=CC=CO3,3.66282,7.82691,5.744865
CCN1C=C(C(=O)C2=C1C=CC(=C2)S(=O)(=O)N3CCOCC3)C(=O)NCCCN(CC(C)C)CC(C)C,-0.26431,-2.15349,-1.2089
CC(C)CC(=O)NC1=CC=CC=C1N2CCN(CC2)C(=O)C3=CC=CC=C3,0.522057,6.17668,3.3493685
CC1=C(C(=CC=C1)C)OCC(=O)OCC(=O)NC2=NC=C(C=C2)Cl,5.35833,6.3183,5.838315
C1=CC=C(C=C1)N2C3=C(C=N2)C(=O)NC(=N3)CSC4=NC=CC=N4,6.90626,6.5165,6.71138
C1CN(CCC1CC2=CC=CC=C2)C3=C(N=C(O3)C4=CC=CO4)C#N,13.0722,8.48348,10.77784
CCOC(=O)N1CCN(CC1)C(=O)/C(=C/C2=CC=CS2)/NC(=O)C3=CC(=C(C=C3)OC)OC,0.682876,-0.083245,0.2998155
CCOC1=C(C=CC(=C1)C2C(=C(NC3=NN=NN23)C(=O)OC)C(=O)C4=CC=CC=C4)O,8.57253,2.31404,5.443285
CC1(CC2=C(O1)C(=CC=C2)OCC(=O)NC3=C(N=CC=C3)Cl)C,2.89889,3.36205,3.13047
COC1=CC=CC(=C1)C2=CSC3=NN=C(N23)SCC(=O)NCC4=CC=CS4,7.30405,3.88664,5.595345
C1=CC=C(C=C1)C(=O)NC(=O)COC(=O)CCNS(=O)(=O)C2=CC=CC=C2,4.30542,3.80833,4.056875
CCOC(=O)C1=CC=C(C=C1)NC(=O)C2=CC(=CN2C)S(=O)(=O)N3CCOCC3,-9.25494,-0.233372,-4.744155999999999
CCN(CC)S(=O)(=O)C1=C(C=CC(=C1)C2=NN=C(O2)C3=CC=C(C=C3)Br)Cl,10.9612,11.1602,11.0607
C1CCN(CC1)C(=O)C2=NOC(=C2)C3=CC(=C(C=C3)Cl)Cl,0.370575,9.9164,5.1434875
CP(=O)(C1=NC2=C(S1)CCCC2)NC3=C(C=CC(=C3)Cl)Cl,-0.472342,3.26763,1.397644
CC1=CC(=CC=C1)OC2=NC=NC(=C2)N3C(=C(C=N3)C(=O)C)C,3.01263,2.92383,2.96823
CS/C(=N\S(=O)(=O)C1=CC=CS1)/NC2=CC=C(C=C2)F,0.914611,1.34849,1.1315505
CCOC1=CC=C(C=C1)OCCC(=O)OCC(=O)N2C3=CC=CC=C3NC(=O)C2(C)C,6.03994,7.6213,6.83062
C1=CC=C(C=C1)NC(=O)C2=CC=CC=C2OC(=O)C3=CC=CC=C3Br,4.63065,6.32683,5.47874
C1=CC=C(C=C1)CNC(=O)C2=CC3=CC=CC=C3OC2=O,4.87958,4.0442,4.46189
C1CSC2=NC(=CN21)C3=CC=C(C=C3)NS(=O)(=O)C4=CC=CC=C4F,3.55313,7.43336,5.493245
CCC(C)(C)N1C(=NN=N1)C(C2=CC=C(C=C2)C)N3CCC(CC3)C.[Cl-],11.1009,10.0354,10.56815
CC1=NN2C=C(C=NC2=C1Br)C3=CC=C(C=C3)Cl,6.70792,7.9737,7.340809999999999
CCC1=CC=CC=C1NC(=S)N(CCN2CCOCC2)C3CCN(CC3)C(=O)C,2.01582,3.56356,2.78969
CCCCN1C(=C(C(=O)NC1=O)N(CC(C)C)C(=O)C2=NN(C(=O)C3=CC=CC=C32)CCCC)N,1.0861,1.42857,1.257335
CC1CCN(CC1)C(=O)C(CC2=CC=CC=C2)N3C=CC=C3,1.49355,-6.40609,-2.45627
C1COCCN1C(=O)C2=CN(N=C2C3=CC=C(S3)Cl)C4=CC=CC=C4,-0.750738,2.41282,0.8310409999999999
C1=CC=C(C(=C1)C=NNC(=O)CO)F,5.84198,6.86016,6.35107
CCCCN(C1=C(N(C(=O)NC1=O)CCC)N)C(=O)COC2=C(C=C(C=C2)C)OC,5.4772,3.3239,4.40055
C1CN(CCN1CC2=CC(=CC=C2)Cl)CC3=NC(=NO3)CCC4=CC=CC=C4,3.55678,6.6257,5.09124
CC1CN(CCN1)C2=CC(=C(C=C2)[N+](=O)[O-])N3CCCCC3,0.0492935,8.50734,4.278316749999999
C1COC2=C(O1)C=CC(=C2)NC(=O)CN3C=NC4=C(C3=O)N=NN4CC5=CC=CC=C5,-0.0234357,-0.885603,-0.45451935
C1=CC=C(C=C1)CNC(=O)/C(=C\C2=CC=C(C=C2)C(=O)O)/C#N,3.52142,10.4465,6.98396
C1CCN(C1)C2=NC(=NC(=N2)NC3=CC=CC=C3C(=O)N)NCCO,-2.3007,0.0939646,-1.1033677
COCCN(C1=NC(=CS1)C2=C(C=CC(=C2)OC)OC)C(=O)CC3=CC(=C(C=C3)OC)OC,1.75794,-0.38208,0.68793
CC(C)(C)C1=CC=C(C=C1)C2=NC(=C(O2)NCCCN3C=CN=C3)C#N,-14.324,-12.8371,-13.58055
CC(=NNC(=S)NCCC1=CC=CC=C1)C2=C(C=C(C=C2)OC)O,-0.869285,1.00438,0.0675475
CC1=CC=C(C=C1)C(=O)NNC2=NC3=CC=CC=C3N=C2C(F)(F)F,-4.33663,-0.483843,-2.4102365000000003
CCOC1=C(C=C(C=C1)NC(=O)CN(C)C(=O)C2=C(C=CC(=C2)[N+](=O)[O-])N3CCOCC3)OCC,2.34958,-0.293321,1.0281295
CCOC(=O)C1C2COC3=C(C2N4[C@]1(C(=O)NC5=CC(=C(C=C5C4=O)OC)OC)C)C=CC(=C3)OC,-2.1249,0.960448,-0.5822259999999999
CN(C1=CC=C(C=C1)C(=O)NC2=CC(=CC=C2)[N+](=O)[O-])S(=O)(=O)C,-3.63331,-0.201272,-1.917291
CCN(CC1=CC=CC=C1)CC(=O)NC2=CC(=CC=C2)S(=O)(=O)N3CCOCC3,5.02208,5.52032,5.2712
CCOC1=CC(=C(C=C1)C2=NC(=NC=C2OC3=CC=C(C=C3)OC)N)O,1.17298,-3.21526,-1.02114
C#CCOC1=NC(=NC(=N1)OCC#C)OCC#C,-2.25728,0.524278,-0.8665010000000001
CC1CCCN(C1)S(=O)(=O)C2=CC=C(C=C2)C(=O)NC3=NN=C(O3)C4CC4,67.8071,70.1238,68.96545
CCOC1=CC=C(C=C1)S(=O)(=O)N(C)CC(=O)N2CCCC2,-0.503517,1.06667,0.2815765
CC1=CC(=C(C(=C1)C)NC(=O)CCC2=C(ON=C2C)C)C,2.10737,-3.29022,-0.5914250000000001
CC(=O)NC1=CC=CC=C1C(F)(F)F,1.23234,3.80914,2.52074
C1CC2=C3C(=CC=C2)C(=C(C(=O)N3C1)C(=O)NCC4=CN=CC=C4)O,6.49091,5.51617,6.00354
COC(=O)CC(C1=CC2=C(C=C1)OCO2)NC(=O)NC3=CC=CC=C3F,4.86212,2.91723,3.889675
C1CCC(C1)NC(=O)COC(=O)/C=C/C2=CC=C(C=C2)Cl,-0.83346,-5.40704,-3.12025
CC1=CC(=CC=C1)N/C(=N/C2=NC(=CC(=O)N2)C)/N,3.64969,9.96341,6.80655
CC1=CC=C(C=C1)C2=NC(=C(O2)C)CS(=O)CC(=O)NCCC3=CCCCC3,-19.1201,-18.2909,-18.7055
CC1=C(C(=O)OC2=C1C=CC(=C2C)OCC(=O)NC3=CN=CC=C3)C,1.03406,6.41581,3.724935
CC1=C([N+](=O)C(=C(N1[O-])C)C)C,3.90774,1.5255,2.71662
CC(C)(C)C(=O)N1CCN(CC1)C2=CC=C(C=C2)NC(=O)C3=CC4=C(C=C3)OCCO4,1.59488,3.50377,2.549325
C1CC(=O)N(C1)CCCN2CC(CCC2=O)C(=O)NCCC3=CC=CC=C3,0.796334,1.89542,1.345877
CCC(C1=CC=CC=C1)C(=O)NC2=CC(=C(C=C2)N3CCOCC3)S(=O)(=O)NC4=CC=CC=C4OC,-8.12783,-11.106,-9.616915
C=CCN(C(C1=CC=CC=C1F)C(=O)NC2CCCCC2)C(=O)CNC(=O)C3=CC=CO3,9.19963,3.80996,6.5047950000000005
CC1=C(C=CC(=C1)N(CC(=O)O)S(=O)(=O)C)Br,-7.08661,-11.5597,-9.323155
CC1=C(C(=O)N2C(=N1)N=C(N2)C3=CC=C(C=C3)OC)CC4=CC=CC=C4,0.142557,0.215918,0.1792375
CCOC1=CC2=NC(=C(C=C2C=C1)C#N)SCC(=O)OC,2.64211,3.38268,3.012395
CNC1=C(C=C(C=C1)C(=O)OCC(=O)NC(=O)NC2CCCC2)[N+](=O)[O-],6.62429,2.54125,4.58277
CC1=CC(=C(C=C1)OC)NC(=O)C2CCC(CC2)CNC3=C(C(=O)C3=O)N4CCOCC4,-0.481058,0.234051,-0.1235034999999999
C1CC(OC1)CNCC2=C(C=CC(=C2)Br)OCC3=CC=CC=C3F.[Cl-],2.45528,0.149371,1.3023255
CN(C1CCS(=O)(=O)C1)C(=O)C2=NN(C(=N2)C3=CC=CC=C3)C4=CC=CC=C4,0.487498,2.50323,1.495364
CC1=CC(=NO1)CNC(=O)C2CCC(=O)N(C2)CCC3=CC=C(C=C3)OC,2.04098,3.1782,2.60959
COC1=CC=C(C=C1)C2=CN(C(=N2)N)N=CC3=C(C=C(C=C3)Cl)Cl,-11.5366,-9.28685,-10.411725
CCOC(=O)C1=NC2=CC=CC=C2C(=N1)NC3=CC=C(C=C3)C(=O)O.[Cl-],-3.53357,-3.15601,-3.34479
CCOC(=O)C1=C(N=C(C=C1)C2=CC(=CC=C2)C(F)(F)F)C,7.87835,7.13377,7.50606
CC(C(=O)OC)SC1=NN2C(=NN=C2C3=CC=C(C=C3)F)C=C1,2.72705,0.153946,1.440498
CC(=O)N1CCN=C1SCC2=C(C=CC=C2Cl)F,2.63889,0.304159,1.4715245
COC1=CC=CC=C1NCC(=O)N2CCN(CC2)S(=O)(=O)C3=CC=CC=C3,-1.60789,-0.169322,-0.888606
COC1=CC=C(C=C1)N2C(=O)C3=CC=CC=C3N=C2SCC#N,9.67116,11.4783,10.57473
CC(C)N(CC1=NC(=NO1)C2=CC=C(C=C2)Cl)C(=O)C(C3=CC=CC=C3)C4=CC=CC=C4,-3.93735,-2.47376,-3.205555
C1=CC(=C(C=C1Cl)NC(=O)CSC2=NN=C(O2)C3=CC=NC=C3)C(=O)O,-0.679268,0.790841,0.0557865
